,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_max_depth,params,split0_test_mse,split1_test_mse,split2_test_mse,split3_test_mse,split4_test_mse,mean_test_mse,std_test_mse,rank_test_mse
0,239.76321501731871,5.433537071736104,1.22772159576416,0.005297608543965488,500,8,"{'n_estimators': 500, 'max_depth': 8}",8554553.764810272,8493622.28763764,8495018.882367397,8650058.255391976,8483837.191254064,8535418.07629227,62526.97939199882,9
1,298.4040017127991,11.943285533827742,1.371357536315918,0.006633870714156775,800,6,"{'n_estimators': 800, 'max_depth': 6}",8540328.948870866,8506362.493932616,8471419.788932232,8627432.825603941,8477323.01554314,8524573.414576558,56952.33279937458,10
2,177.8196313381195,0.7192951683911443,0.8575419425964356,0.006227766544340538,500,6,"{'n_estimators': 500, 'max_depth': 6}",8564870.633777114,8544748.958709093,8494287.272906104,8655062.6697219,8515929.38233063,8554979.783488968,55547.452656789064,7
3,258.33276214599607,0.47817449439659054,1.0890560626983643,0.004452345211657283,1000,4,"{'n_estimators': 1000, 'max_depth': 4}",8730236.640094513,8728239.715219233,8648822.350543236,8822686.328332454,8680476.454926742,8722092.297823237,58861.94624740397,4
4,129.80245714187623,0.4356838446987037,0.5409409523010253,0.004485316611323636,500,4,"{'n_estimators': 500, 'max_depth': 4}",8805900.199211445,8801407.360447666,8709465.512242233,8892692.769214649,8748561.508085623,8791605.469840324,61836.58095306125,3
5,49.06215739250183,0.25177643398143196,0.3479641914367676,0.0017329180327847894,100,10,"{'n_estimators': 100, 'max_depth': 10}",8560840.715898588,8511898.589930696,8478734.163951043,8636420.604239449,8509251.509141434,8539429.116632242,55169.376336348665,8
6,496.7121528625488,0.652907597901937,3.3865615844726564,0.012433798236069334,1000,10,"{'n_estimators': 1000, 'max_depth': 10}",9078679.275036419,9035203.482877713,9050868.467307653,9212245.005551424,9028281.263458468,9081055.498846335,67845.58537060098,1
7,250.90110816955567,0.574848660108749,1.6708080768585205,0.004073561064934532,500,10,"{'n_estimators': 500, 'max_depth': 10}",8843751.892151164,8790292.071645971,8805645.388385601,8971168.224470668,8790444.754903527,8840260.466311386,68301.80142426917,2
8,43.13943495750427,0.2293710380285722,0.25162744522094727,0.003532832993282196,100,8,"{'n_estimators': 100, 'max_depth': 8}",8637076.14020143,8602273.700969607,8547810.865071408,8711176.947550662,8575447.582051381,8614757.0471689,56529.28158222243,5
9,348.2791304588318,1.0008372362477955,1.9354827404022217,0.016120654974402605,800,8,"{'n_estimators': 800, 'max_depth': 8}",8621869.77190749,8553358.0116408,8565421.674256125,8727415.521191007,8550363.035051176,8603685.60280932,67052.28944935603,6
